Parameter	DataType
001_Batch_Num_In_Creel	str
002_Creel_Doors_State	bool
003_Disabled_Fibers	int64
004_Mandrels_State	int64
005_Material_Code_In_Creel	str
006_Multiwinch_ON	bool
007_Remaining_Length	float
008_Spool_ID_In_Creel	str
009_Spool_Overload_Fault	int64
010_Spool_Rotation_Fault	int64
011_Axis_Moving	bool
012_Emergency_Stop	bool
013_Machine_Expl_Mode	byte
014_Machine_State	byte
015_Machine_State_Mode	byte
016_Maintenance_Location	bool
017_Maintenance_State	bool
018_Mold_Lock_Status	int64
019_Mold_Presence_Status	int64
020_NC_Mode	byte
021_Robot_Mode	byte
022_Safety_Button_State	bool
023_Speed_Order	float
024_Courses_Reworks	bool
025_Curr_Course_Position	int64
026_Curr_Ply_Name	str
027_Curr_Prog_Name	str
028_Curr_Tape_Name	str
029_Cust_Mold_ID	str
030_Frame_Name	str
031_Lay_Up_Status	bool
032_Manufacturing_Order	str
033_Param_Set_Name	str
034_Reserved_BYTE	byte
035_Reserved_DWORD	int64
036_Tool_Probing_In_Progress	bool
037_Used_Fibers	int64
038_Worskstation_Num	byte
039_Belt_Press_Meas	float
040_Belt_Press_Order	float
041_Brakes_Press_Meas	float
042_Brakes_Press_Order	float
043_Compact_BackPress_Meas	float
044_Compact_BackPress_Order	float
045_Compact_Press_Meas	float
046_Compact_Press_Order	float
047_CoolingUnit1_Meas	float
048_CoolingUnit1_Order	float
049_CoolingUnit2_Meas	float
050_CoolingUnit2_Order	float
051_Creel_Hygro_Meas	float
052_Creel_Temp_Meas	float
053_Cut_Press_Meas	float
054_Cut_Press_Order	float
055_FW_Brake1_Press_Meas	float
056_FW_Brake1_Press_Order	float
057_FW_Brake2_Press_Meas	float
058_FW_Brake2_Press_Order	float
059_FW_Brake3_Press_Meas	float
060_FW_Brake3_Press_Order	float
061_FW_EvenBrake_On	bool
062_FW_OddBrake_On	bool
063_Feed_BackPress_Meas	float
064_Feed_BackPress_Order	float
065_FilWinding_On	bool
066_Force_Left_Meas	float
067_Force_Right_Meas	float
068_General_Airflow_Meas	float
069_HeadCool_Press_Meas	float
070_HeadCool_Press_Order	float
071_Head_Temp_Meas	float
072_Head_Temp_Order	float
073_Heating_On	bool
074_IR1_Power_Meas	float
075_IR1_Power_Order	float
076_IRCool_Press_Meas	float
077_IRCool_Press_Order	float
078_Laser_Power_Order	float
079_MW_Press_Meas	float
080_MW_Press_Order	float
081_Mandrel_Airflow_Meas	float
082_Mandrels_Press_Meas	float
083_Mandrels_Press_Order	float
084_Pyrometer1_Meas	float
085_Pyrometer2_Meas	float
086_Robot_MotionStep	float
087_RollerCool_Press_Meas	float
088_RollerCool_Press_Order	float
089_TCP_PosX	float
090_TCP_PosY	float
091_TCP_PosZ	float
092_TCP_Speed	float
093_Tool_Depth_Meas	float
094_Tubes1_Press_Meas	float
095_Tubes1_Press_Order	float
096_Workshop_Hygro_Meas	float
097_Workshop_Temp_Meas	float
098_Reserve_TCP_RotA	float
099_Reserve_TCP_RotB	float
100_Reserve_TCP_RotC	float
